category,website,affiliate_link,brand,image,price,name
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//anne-semonin-100-active-serum.html#c=0-category,Anne Semonin,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/a/n/ann007_annesemonin_100_activeserum_sizedproduct_800x960.jpg,£119.00,100% Active Serum
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//oskia-super-16-serum.html#c=0-category,Oskia,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/o/s/osk014_oskia_super16serum_1_780x980.jpg,£80.00,Super 16 Serum
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//glamglow-thirstymud.html#c=0-category,GLAMGLOW,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/g/l/gla006_glamglow_thirstymudhydratingtreatmentmasque_780x980.jpg,£49.99,THIRSTYMUD Hydrating Treatment
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//eos-summer-fruit-lip-balm.html#c=1-category,EOS,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/e/o/eos000_eos_lipbalm_summerfruit_800x960.jpg,£5.99,Summer Fruit Lip Balm
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//aurelia-probiotic-skincare-cell-repair-night-oil.html#c=1-category,Aurelia Probiotic Skincare,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/a/u/aur003_aurelia_cellrepairnightoil_1_780x980.jpg,£45.00,Cell Repair Night Oil
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//dr-alkaitis-organic-day-cream.html#c=1-category,Dr. Alkaitis,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/d/r/dra001_dralkaitis_daycream_sizedproduct_800x960.jpg,£69.50,Organic Day Cream
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//dr-alkaitis-organic-night-cream.html#c=2-category,Dr. Alkaitis,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/d/r/dra002_dralkaitis_nightcream_sizedproduct_800x960.jpg,£69.50,Organic Night Cream
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//dr-alkaitis-organic-replenishing-serum.html#c=2-category,Dr. Alkaitis,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/d/r/dra003_dralkaitis_replenishingserum_sizedproduct_800x960_1.jpg,£43.50,Organic Replenishing Serum
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//dr-alkaitis-organic-soothing-gel.html#c=2-category,Dr. Alkaitis,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/d/r/dra004_dralkaitis_organicsoothinggel_sizedproduct_800x960.jpg,£43.50,Organic Soothing Gel
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//aurelia-probiotic-skincare-cell-revitalise-night-moisturiser.html#c=3-category,Aurelia Probiotic Skincare,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/a/u/aur005_aurelia_cellrevitalisenightmoisturoiser_1_780x980_2.jpg,£42.00,Cell Revitalise Night Moisturiser
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//ren-radiance-perfecting-serum.html#c=3-category,REN,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/r/e/ren022_ren_radianceperfectionserum__800x960.jpg,£35.00,Radiance Perfecting Serum
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//ling-skin-care-freeze-uncrease-serum.html#c=3-category,Ling Skin Care,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/l/n/lng006_ling_freeze_uncreaseserum_sizedproduct_800x960_1.jpg,£95.00,Freeze & Uncrease Serum
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//xen-tan-transform-facial-tanner.html#c=4-category,Xen Tan,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£16.99,Face Tanner
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//alpha-h-instant-facial.html#c=4-category,Alpha-H,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£37.00,Instant Facial
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//mv-organic-skincare-luxury-travel-bag.html#c=4-category,MV Organic Skincare,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£128.00,Luxury Travel Essentials
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//dr-alkaitis-travel-collection.html#c=5-category,Dr. Alkaitis,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£52.25,Travel Collection
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//tony-moly-i-m-real-mask-red-wine.html#c=5-category,TONYMOLY,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£6.00,I'm Real Mask - Red Wine
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//rejuvenated-ltd-h3o-hydration.html#c=5-category,Rejuvenated Ltd,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£24.95,H3O Hydration
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//ren-rosa-centifolia-hot-cloth-cleanser.html#c=6-category,REN,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£16.00,Rosa Centifolia Hot Cloth Cleanser
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//vintners-daughter-active-botanical-serum.html#c=6-category,Vintner's Daughter,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£150.00,Active Botanical Serum
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//institut-esthederm-adaptasun-body-milk-normalstrong-sun.html#c=6-category,Institut Esthederm,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£42.50,ADAPTASUN Body Milk Normal Skin Normal/Strong Sun
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//institut-esthederm-sun-intolerance-treatment-body-spray.html#c=7-category,Institut Esthederm,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£47.00,Sun Intolerance Treatment Body Spray
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//caudalie-polyphenol-c15-overnight-detox-oil.html#c=7-category,Caudalie,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£29.00,Polyphenol C15 Overnight Detox Oil
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//caudalie-polyphenol-c15-anti-wrinkle-eye-and-lip-cream.html#c=7-category,Caudalie,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£26.00,Polyphenol C15 Anti-Wrinkle Eye And Lip Cream
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//dr-jacksons-01-day-skin-cream.html#c=8-category,Dr. Jackson's,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£40.00,01 Day Skin Cream
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//glamglow-super-mud-clearing-treatment.html#c=8-category,GLAMGLOW,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£44.99,SUPERMUD Clearing Treatment
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//ling-skin-care-hi-vitamin-c-serum.html#c=8-category,Ling Skin Care,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£75.00,Hi-Vitamin C Serum (12%)
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//ling-skin-care-spotlight-papaya-resurfacing-peel.html#c=9-category,Ling Skin Care,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£65.00,Spotlight Papaya Resurfacing Peel
Skin Care,http://www.cultbeauty.co.uk,http://www.cultbeauty.co.uk//ling-skin-care-triple-action-exfoliator.html#c=9-category,Ling Skin Care,http://d10qoa1dy3vloz.cloudfront.net/public/img/placeholder.jpg?m=4u0gt,£42.00,Triple Action Exfoliator
