category,website,name,brand,image_urls,affiliate_link,images,price,sub_category
Skin Care,http://www.cultbeauty.co.uk,DNA Regeneration Serum,DNA Renewal,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/d/n/dna007_dnarenewal_regenerationserum_1_780x980.jpg,http://www.cultbeauty.co.uk//dna-renewal-dna-regeneration-serum.html#c=0-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/d/n/dna007_dnarenewal_regenerationserum_1_780x980.jpg', 'path': 'full/d118b7b815d3d44da2e335eca6ca7294b8b84484.jpg', 'checksum': '58e63b7de2e20f4f40dc1f619fa1d21b'}]",£85.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Super 16 Serum,Oskia,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/o/s/osk014_oskia_super16serum_1_780x980.jpg,http://www.cultbeauty.co.uk//oskia-super-16-serum.html#c=0-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/o/s/osk014_oskia_super16serum_1_780x980.jpg', 'path': 'full/8601370adc38769327a007aaa7ad5b06899b024f.jpg', 'checksum': '58612c99de53b3b325d50159a6cfc548'}]",£80.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Moisture Plenish,Ling Skin Care,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/l/n/lng001_ling_moistureplenish_sizedproduct_800x960_1.jpg,http://www.cultbeauty.co.uk//ling-skin-care-cell-repare-moisture-plenish.html#c=1-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/l/n/lng001_ling_moistureplenish_sizedproduct_800x960_1.jpg', 'path': 'full/6db527ce12ef697c19fce49f7d26787955c856be.jpg', 'checksum': '5c419e5ce5727a4fa0f693cf8bb101b1'}]",£65.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Organic Replenishing Serum,Dr. Alkaitis,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/d/r/dra003_dralkaitis_replenishingserum_sizedproduct_800x960_1.jpg,http://www.cultbeauty.co.uk//dr-alkaitis-organic-replenishing-serum.html#c=1-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/d/r/dra003_dralkaitis_replenishingserum_sizedproduct_800x960_1.jpg', 'path': 'full/0367babf9ab0370938a193f69664948648d8fad5.jpg', 'checksum': '2c7e2c737438e3d33eb2772700c44845'}]",£43.50,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,H3O Hydration,Rejuvenated Ltd,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/r/e/rejuvenated_h3ohydration_780x980.jpg,http://www.cultbeauty.co.uk//rejuvenated-ltd-h3o-hydration.html#c=0-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/r/e/rejuvenated_h3ohydration_780x980.jpg', 'path': 'full/d4b2d8352b5e13cd2e98cc6f76842310f68dddcc.jpg', 'checksum': '8f889c73cbf8b5b6d37a447ab4f96db5'}]",£24.95,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Freeze & Uncrease Serum,Ling Skin Care,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/l/n/lng006_ling_freeze_uncreaseserum_sizedproduct_800x960_1.jpg,http://www.cultbeauty.co.uk//ling-skin-care-freeze-uncrease-serum.html#c=1-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/l/n/lng006_ling_freeze_uncreaseserum_sizedproduct_800x960_1.jpg', 'path': 'full/aaac06d61156917b7b1c2885e1af127988f4613d.jpg', 'checksum': '3100141e6c82f72e82f029688b257e56'}]",£95.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Face Tanner,Xen Tan,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/x/e/xen005_xen-tan_facetannerluxe_780x980.jpg,http://www.cultbeauty.co.uk//xen-tan-transform-facial-tanner.html#c=2-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/x/e/xen005_xen-tan_facetannerluxe_780x980.jpg', 'path': 'full/4dbb3cc881be8d1aefd170fb53c00e2f965e7cd9.jpg', 'checksum': '340d41c9d0ed19457c7722c29271dcaf'}]",£16.99,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Face Tanner,Xen Tan,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/x/e/xen005_xen-tan_facetannerluxe_780x980.jpg,http://www.cultbeauty.co.uk//xen-tan-transform-facial-tanner.html#c=2-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/x/e/xen005_xen-tan_facetannerluxe_780x980.jpg', 'path': 'full/4dbb3cc881be8d1aefd170fb53c00e2f965e7cd9.jpg', 'checksum': '340d41c9d0ed19457c7722c29271dcaf'}]",£16.99,SPF & Self Tanners
Skin Care,http://www.cultbeauty.co.uk,Organic Replenishing Serum,Dr. Alkaitis,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/d/r/dra003_dralkaitis_replenishingserum_sizedproduct_800x960_1.jpg,http://www.cultbeauty.co.uk//dr-alkaitis-organic-replenishing-serum.html#c=2-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/d/r/dra003_dralkaitis_replenishingserum_sizedproduct_800x960_1.jpg', 'path': 'full/0367babf9ab0370938a193f69664948648d8fad5.jpg', 'checksum': '2c7e2c737438e3d33eb2772700c44845'}]",£43.50,Natural
Skin Care,http://www.cultbeauty.co.uk,Neroli Infused Marula Oil,African Botanics,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/b/o/bot002_africanbotanics_neroliinfusedmarulaoil_780x980.jpg,http://www.cultbeauty.co.uk//african-botanics-neroli-infused-marula-oil.html#c=2-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/b/o/bot002_africanbotanics_neroliinfusedmarulaoil_780x980.jpg', 'path': 'full/e5b07babe9d98378c4fedc428873dbeb1902da1e.jpg', 'checksum': '60bf2f764d875d121f023cce7c9a3e4a'}]",£60.00,Anti-ageing
